id,prac_2016,vik_2016,prac_2018,vik_2018,prac_2020,vik_2020,prac_2022,vik_2022,datum_exportu,ObjectId,Shape__Length
137,120,180,160,180,150,140,0,0,2024/08/05 00:00:00+00,617,273.963592898018
135,120,180,160,170,140,130,0,0,2024/08/05 00:00:00+00,618,603.024466363646
157,160,260,180,180,160,110,110,120,2024/08/05 00:00:00+00,619,2468.30801131008
588,70,100,60,60,50,50,60,70,2024/08/05 00:00:00+00,620,119.689100815209
596,60,160,80,140,70,100,80,90,2024/08/05 00:00:00+00,621,1670.76133183067
554,82,60,50,50,52,60,80,50,2024/08/05 00:00:00+00,622,479.956559004032
594,50,130,60,80,55,65,90,140,2024/08/05 00:00:00+00,623,682.699814828031
592,25,170,30,100,20,60,40,75,2024/08/05 00:00:00+00,624,224.027841480833
295,50,80,50,55,40,50,40,45,2024/08/05 00:00:00+00,625,627.700479597024
255,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,626,722.299616640684
435,110,230,70,100,100,120,90,80,2024/08/05 00:00:00+00,627,2192.04521482087
628,0,0,45,15,40,15,45,20,2024/08/05 00:00:00+00,628,122.037457443748
